,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
99,0.934821605682373,0.031103704308846163,0.03901882171630859,0.006339489495030462,15,1,5,250,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.978494623655914,0.977299880525687,0.9821002386634845,0.9832935560859188,0.9821002386634845,0.9806577075188978,0.0023265177321098794
100,0.2127244472503662,0.018154980372981726,0.012869787216186524,0.0003719023361784145,15,1,10,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.97610513739546,0.977299880525687,0.9785202863961814,0.977326968973747,0.9821002386634845,0.978270502390912,0.0020615741386054826
101,0.468276834487915,0.009595375818108924,0.023262643814086915,0.003683298442516137,15,1,10,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.974910394265233,0.97610513739546,0.9785202863961814,0.9785202863961814,0.9797136038186157,0.9775539416543342,0.0017674366502353914
102,0.6359928607940674,0.0415108589552944,0.029583501815795898,0.008871690824694418,15,1,10,150,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.97610513739546,0.974910394265233,0.977326968973747,0.977326968973747,0.9797136038186157,0.9770766146853604,0.0015947003017308997
103,0.8113779067993164,0.020806361897350578,0.02749643325805664,0.00800517290689811,15,1,10,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.97610513739546,0.974910394265233,0.977326968973747,0.977326968973747,0.9797136038186157,0.9770766146853604,0.0015947003017308997
104,0.9850663661956787,0.07296867774130177,0.035710382461547854,0.003039148153184958,15,1,10,250,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 250}",0.9809523809523809,0.9857142857142858,0.9808612440191388,0.9712918660287081,0.9617224880382775,0.9761084529505583,0.00858463954451474,4,0.97610513739546,0.974910394265233,0.977326968973747,0.977326968973747,0.9797136038186157,0.9770766146853604,0.0015947003017308997
105,0.21090574264526368,0.009081535464670262,0.014522409439086914,0.0038636204078997503,15,2,2,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9809523809523809,0.9809523809523809,0.9760765550239234,0.9712918660287081,0.9617224880382775,0.9741991341991343,0.007195224805547341,36,0.973715651135006,0.974910394265233,0.9749403341288783,0.9749403341288783,0.9785202863961814,0.9754054000108354,0.001626983201774436
106,0.38405842781066896,0.03607963018801658,0.01842489242553711,0.0018369817087098576,15,2,2,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9666666666666667,0.9809523809523809,0.9712918660287081,0.9712918660287081,0.9569377990430622,0.9694281157439052,0.00778960115971323,69,0.970131421744325,0.97610513739546,0.9725536992840096,0.9737470167064439,0.977326968973747,0.9739728488207972,0.0025541465933479027
107,0.5036569595336914,0.047190466898532436,0.020438528060913085,0.003696534828683765,15,2,2,150,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.9761904761904762,0.9809523809523809,0.9712918660287081,0.9665071770334929,0.9569377990430622,0.970375939849624,0.008271152447986534,64,0.972520908004779,0.972520908004779,0.9737470167064439,0.9761336515513126,0.9785202863961814,0.9746885541326991,0.0023261277215625075
108,0.5410315513610839,0.005523215221585231,0.02253894805908203,0.0008934434019757575,15,2,2,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9714285714285714,0.9809523809523809,0.9712918660287081,0.9712918660287081,0.9569377990430622,0.9703804966962861,0.007684146090293576,63,0.972520908004779,0.972520908004779,0.9749403341288783,0.9725536992840096,0.977326968973747,0.9739725636792386,0.0019191872805670795
